56870;716;-2776;14844
56894;656;-1872;15012
56918;332;-976;14800
56941;-232;-1172;15016
56966;-84;-2128;15088
56990;0;-2036;15224
57012;292;-940;15176
57034;172;-996;14828
57058;-376;-1248;14792
57082;-704;-1816;14652
57107;-108;-1444;14880
57133;12;-1832;14544
57155;-176;-1292;14292
57180;-192;-2980;12324
57205;-972;-780;11244
57229;1184;-2796;2072
57253;524;-28;-1400
57275;252;-1320;-1688
57298;-24;-292;-2768
57322;80;-440;-2128
57344;80;-120;-2060
57365;80;140;-1876
57387;92;148;-1700
57407;208;-32;-1616
57428;352;88;-1488
57449;328;36;-1508
57470;292;-164;-1436
57493;472;-428;-1492
57516;504;-272;-1448
57539;384;-308;-1408
57562;380;-264;-1476
57584;352;140;-1408
57607;388;124;-1468
57628;264;324;-1400
57650;432;400;-1328
57672;212;588;-1288
57694;27416;32767;2340
57718;32767;32767;32767
57745;-32768;-32768;32767
57773;-7080;-13252;7676
57799;2048;-9144;3556
57823;2420;-6560;1516
57846;2764;944;-1008
57870;2360;-788;864
57891;2336;-732;3356
57914;3268;428;2532
57936;6468;4292;4976
57959;8728;2516;9484
57981;10072;4576;12384
58007;11908;2332;13740
58032;9024;796;15548
58055;7436;3748;14148
58079;4600;-3292;17044
58103;7380;-2432;20852
58129;6484;-1944;20772
58153;4944;712;15844
58176;4428;564;12052
58200;4472;-420;10880
58223;4840;-480;11220
58247;5308;576;13304
58270;5416;332;15028
58293;5448;-16;15608
58315;5516;248;15124
58339;5284;28;14000
58360;5260;68;13452
58382;5252;-40;13988
58405;5492;52;14476
58427;5460;136;14552
58449;5216;44;14108
58472;5284;48;14016
58493;5408;124;14356
58516;5428;220;14432
58540;5276;-20;14048
58562;5416;-28;14164
58586;5420;160;14348
58608;5380;112;14236
58631;5316;96;14076
58653;5376;100;14184
58676;5412;152;14220
58698;5332;96;14304
58721;5364;64;14228
58742;5360;140;14356
58765;5340;96;14156
58787;5312;40;14248
58809;5408;96;14076
58830;5384;136;14240
58854;5328;184;14220
58876;5392;92;14152
58898;5296;64;14204
58920;5304;160;14204
58943;5292;52;14292
58964;5364;112;14336
58988;5408;72;14204
59010;5340;56;14044
59031;5332;140;14272
59055;5360;144;14248
59077;5388;116;14188
59100;5332;4;14216
59121;5328;132;14212
59144;5448;144;14228
59166;5360;108;14220
59190;5364;120;14160
59212;5360;60;14240
59234;5340;140;14224
59257;5360;140;14132
59280;5348;136;14192
59302;5324;144;14200
59326;5344;36;14248
59347;5368;116;14024
59370;5316;172;14196
59394;5332;112;14164
59416;5372;44;14360
59438;5244;216;14156
59461;5388;156;14116
59484;5364;108;14272
59506;5392;0;14160
59528;5396;-8;14200
59549;5408;76;14316
59571;5364;108;14232
59594;5316;108;14000
59617;5336;116;14372
59639;5400;96;14272
59662;5296;120;14176
59684;5384;68;14400
59706;5364;116;14164
59729;5408;244;14240
59752;5360;12;14292
59773;5440;16;14148
59796;5276;64;14056
59817;5304;140;13920
59840;5416;112;14224
59864;5320;144;14252
59886;5392;120;14220
59909;5360;184;14268
59932;5248;24;14204
59954;5356;116;14064
59976;5360;88;14168
59999;5248;84;14284
60020;5436;168;14120
60043;5376;96;14172
60065;5388;48;14412
60087;5420;72;14304
60108;5284;116;14188
60132;5304;-24;14208
60154;5472;96;14168
60176;5480;36;14184
60198;5368;100;14024
60221;5336;128;14108
60243;5340;128;14132
60267;5312;104;14288
60290;5428;40;14244
60311;5408;124;14140
60335;5340;116;14240
60357;5276;128;14296
60380;5280;56;14188
60402;5376;136;14192
60425;5340;92;14292
60446;5344;164;14172
60470;5400;64;14292
60491;5416;84;14284
60513;5296;224;14376
